ID,SHOPCODEAPPROVERSID,SHOPCODEPRIMARYAPPROVER,SHOPCODESECONDARYAPPROVER,SHOPCODETHIRDAPPROVER,MPNID,COUNTRYID,ADDDATE,ADDBY,MODDATE,MODBY,PRIMARYAPPROVERLEAVE,PRIMARYAPPROVERLEAVEFROM,PRIMARYAPPROVERLEAVETO,KITAPPROVER,CAT
10000,10026,303487800,,,5407,,04-JAN-17 00:56:05,1002771,,,,,,,B
10001,10027,303487800,,,3662,,04-JAN-17 00:56:05,1002771,,,,,,,B
10002,10028,303487800,,,3745,,04-JAN-17 00:56:05,1002771,,,,,,,B
10003,10029,303487800,,,4512,,04-JAN-17 00:56:05,1002771,,,,,,,B
10004,10030,303487800,,,10574,,04-JAN-17 00:56:05,1002771,,,,,,,B
10005,10031,303487800,,,4839,,04-JAN-17 00:56:05,1002771,,,,,,,B
10006,10032,303487800,,,4942,,04-JAN-17 00:56:05,1002771,,,,,,,B
10007,10033,303487800,,,4146,,04-JAN-17 00:56:05,1002771,,,,,,,B
10008,10034,303487800,,,3988,,04-JAN-17 00:56:05,1002771,,,,,,,B
10009,10035,303487800,,,8204,,04-JAN-17 00:56:05,1002771,,,,,,,B
10010,10036,303487800,,,5428,,04-JAN-17 00:56:05,1002771,,,,,,,B
10011,10037,303487800,,,7547,,04-JAN-17 00:56:05,1002771,,,,,,,B
10012,10038,303487800,,,5411,,04-JAN-17 00:56:05,1002771,,,,,,,B
10013,10039,303487800,,,5094,,04-JAN-17 00:56:05,1002771,,,,,,,B
10014,10040,303487800,,,7628,,04-JAN-17 00:56:05,1002771,,,,,,,B
10015,10041,303487800,,,8622,,04-JAN-17 00:56:05,1002771,,,,,,,B
10016,10042,303487800,,,8662,,04-JAN-17 00:56:05,1002771,,,,,,,B
10017,10043,303487800,,,8642,,04-JAN-17 00:56:05,1002771,,,,,,,B
10018,10044,303487800,,,8612,,04-JAN-17 00:56:05,1002771,,,,,,,B
10019,10045,303487800,,,8779,,04-JAN-17 00:56:05,1002771,,,,,,,B
10020,10046,303487800,,,8640,,04-JAN-17 00:56:05,1002771,,,,,,,B
10021,10047,303487800,,,8624,,04-JAN-17 00:56:05,1002771,,,,,,,B
10022,10048,303487800,,,8638,,04-JAN-17 00:56:05,1002771,,,,,,,B
10023,10049,303487800,,,8199,,04-JAN-17 00:56:05,1002771,,,,,,,B
10024,10050,303487800,,,8594,,04-JAN-17 00:56:05,1002771,,,,,,,B
10025,10051,303487800,,,8650,,04-JAN-17 00:56:05,1002771,,,,,,,B
10026,10052,303487800,,,10802,,04-JAN-17 00:56:05,1002771,,,,,,,B
10027,10053,303487800,,,23111,,04-JAN-17 00:56:05,1002771,,,,,,,B
10028,10054,303487800,,,7016,,04-JAN-17 00:56:05,1002771,,,,,,,B
10029,10055,303487800,,,6796,,04-JAN-17 00:56:05,1002771,,,,,,,B
10030,10056,303487800,,,8464,,04-JAN-17 00:56:05,1002771,,,,,,,B
10031,10057,303487800,,,8202,,04-JAN-17 00:56:05,1002771,,,,,,,B
10032,10058,303487800,,,6703,,04-JAN-17 00:56:05,1002771,,,,,,,B
10033,10059,303487800,,,7548,,04-JAN-17 00:56:05,1002771,,,,,,,B
10034,10060,303487800,,,3850,,04-JAN-17 00:56:05,1002771,,,,,,,B
10035,10061,303487800,,,2575,,04-JAN-17 00:56:05,1002771,,,,,,,B
10036,10062,303487800,,,2829,,04-JAN-17 00:56:05,1002771,,,,,,,B
10037,10063,303487800,,,3220,,04-JAN-17 00:56:05,1002771,,,,,,,B
10038,10064,303487800,,,5541,,04-JAN-17 00:56:05,1002771,,,,,,,B
10039,10065,303487800,,,5427,,04-JAN-17 00:56:05,1002771,,,,,,,B
10040,10066,303487800,,,3222,,04-JAN-17 00:56:05,1002771,,,,,,,B
10041,10067,303487800,,,3476,,04-JAN-17 00:56:05,1002771,,,,,,,B
10042,10068,303487800,,,5459,,04-JAN-17 00:56:05,1002771,,,,,,,B
10043,10069,303487800,,,3224,,04-JAN-17 00:56:05,1002771,,,,,,,B
10044,10070,303487800,,,3223,,04-JAN-17 00:56:05,1002771,,,,,,,B
10045,10071,303487800,,,4936,,04-JAN-17 00:56:05,1002771,,,,,,,B
10046,10072,303487800,,,7711,,04-JAN-17 00:56:05,1002771,,,,,,,B
10047,10073,303487800,,,4415,,04-JAN-17 00:56:05,1002771,,,,,,,B
10048,10074,303487800,,,4854,,04-JAN-17 00:56:05,1002771,,,,,,,B
10049,10075,303487800,,,10568,,04-JAN-17 00:56:05,1002771,,,,,,,B
10050,10076,303487800,,,8489,,04-JAN-17 00:56:05,1002771,,,,,,,B
10051,10077,303487800,,,6803,,04-JAN-17 00:56:05,1002771,,,,,,,B
10052,10078,303487800,,,5656,,04-JAN-17 00:56:05,1002771,,,,,,,B
10053,10079,303487800,,,7338,,04-JAN-17 00:56:05,1002771,,,,,,,B
10054,10080,303487800,,,6983,,04-JAN-17 00:56:05,1002771,,,,,,,B
10055,10081,303487800,,,7549,,04-JAN-17 00:56:05,1002771,,,,,,,B
10056,10082,303487800,,,6797,,04-JAN-17 00:56:05,1002771,,,,,,,B
10057,10083,303487800,,,5004,,04-JAN-17 00:56:05,1002771,,,,,,,B
10058,10084,303487800,,,6665,,04-JAN-17 00:56:05,1002771,,,,,,,B
10059,10085,303487800,,,8265,,04-JAN-17 00:56:05,1002771,,,,,,,B
10060,10086,303487800,,,8475,,04-JAN-17 00:56:05,1002771,,,,,,,B
10061,10087,303487800,,,10566,,04-JAN-17 00:56:05,1002771,,,,,,,B
10062,10088,303487800,,,8731,,04-JAN-17 00:56:05,1002771,,,,,,,B
10063,10089,303487800,,,3624,,04-JAN-17 00:56:05,1002771,,,,,,,B
10064,10090,303487800,,,8442,,04-JAN-17 00:56:05,1002771,,,,,,,B
10065,10091,303487800,,,8481,,04-JAN-17 00:56:05,1002771,,,,,,,B
10066,10092,303487800,,,6892,,04-JAN-17 00:56:05,1002771,,,,,,,B
10067,10093,303487800,,,8641,,04-JAN-17 00:56:05,1002771,,,,,,,B
10068,10094,303487800,,,7017,,04-JAN-17 00:56:05,1002771,,,,,,,B
10069,10095,303487800,,,22183,,04-JAN-17 00:56:05,1002771,,,,,,,B
10070,10096,303487800,,,23125,,04-JAN-17 00:56:05,1002771,,,,,,,B
10071,10097,303487800,,,23122,,04-JAN-17 00:56:05,1002771,,,,,,,B
10072,10098,303487800,,,23123,,04-JAN-17 00:56:05,1002771,,,,,,,B
