ID,SHOPCODEAPPROVERSID,SHOPCODEPRIMARYAPPROVER,SHOPCODESECONDARYAPPROVER,SHOPCODETHIRDAPPROVER,MPNID,COUNTRYID,ADDDATE,ADDBY,MODDATE,MODBY,PRIMARYAPPROVERLEAVE,PRIMARYAPPROVERLEAVEFROM,PRIMARYAPPROVERLEAVETO,CAT,KITAPPROVER
1,1,172734331,2580153,,,1,24-MAR-10 00:00:00,1002771,30-MAR-17 16:41:17,172734331,1,30-MAR-17 00:00:00,03-APR-17 00:00:00,A,
2,2,2641870,2773838,,,2,24-MAR-10 00:00:00,1002771,28-MAR-17 05:07:22,2641870,1,01-APR-17 00:00:00,05-APR-17 00:00:00,A,
3,3,55569977,,,,3,24-MAR-10 00:00:00,1002771,12-DEC-16 18:55:34,1002771,0,,,A,
4,4,4857750,64993907,,,4,24-MAR-10 00:00:00,1002771,15-DEC-16 00:06:02,4857750,1,19-DEC-16 00:00:00,24-DEC-16 00:00:00,A,
5,5,546318132,478739415,,,5,24-MAR-10 00:00:00,1002771,26-APR-17 23:21:34,32229645,1,11-OCT-16 00:00:00,14-OCT-16 00:00:00,A,
